
--- Batch Process Started: 2025-06-09 18:35:16 ---
[SUCCESS] Article: Economy_of_Afghanistan | URL: https://en.wikipedia.org/wiki/Economy_of_Afghanistan | Reason: Downloaded successfully
[SUCCESS] Article: Nordic_Council | URL: https://en.wikipedia.org/wiki/Nordic_Council | Reason: Downloaded successfully
[SUCCESS] Article: Northern_Dimension_Partnership_in_Public_Health_and_Social_Well-being | URL: https://en.wikipedia.org/wiki/Northern_Dimension_Partnership_in_Public_Health_and_Social_Well-being | Reason: Downloaded successfully
[SUCCESS] Article: Organisation_for_Joint_Armament_Cooperation | URL: https://en.wikipedia.org/wiki/Organisation_for_Joint_Armament_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: Visegrád_Group | URL: https://en.wikipedia.org/wiki/Visegr%C3%A1d_Group | Reason: Downloaded successfully
[SUCCESS] Article: EUREKA | URL: https://en.wikipedia.org/wiki/EUREKA | Reason: Downloaded successfully
[SUCCESS] Article: European_Cooperation_in_Science_and_Technology | URL: https://en.wikipedia.org/wiki/European_Cooperation_in_Science_and_Technology | Reason: Downloaded successfully
[SUCCESS] Article: Community_for_Democracy_and_Rights_of_Nations | URL: https://en.wikipedia.org/wiki/Community_for_Democracy_and_Rights_of_Nations | Reason: Downloaded successfully
[SUCCESS] Article: European_Centre_for_Medium-Range_Weather_Forecasts | URL: https://en.wikipedia.org/wiki/European_Centre_for_Medium-Range_Weather_Forecasts | Reason: Downloaded successfully
[SUCCESS] Article: South-East_European_Cooperation_Process | URL: https://en.wikipedia.org/wiki/South-East_European_Cooperation_Process | Reason: Downloaded successfully
[SUCCESS] Article: West_Nordic_Council | URL: https://en.wikipedia.org/wiki/West_Nordic_Council | Reason: Downloaded successfully
[SUCCESS] Article: Three_Seas_Initiative | URL: https://en.wikipedia.org/wiki/Three_Seas_Initiative | Reason: Downloaded successfully
[SUCCESS] Article: Asia-Pacific_Economic_Cooperation | URL: https://en.wikipedia.org/wiki/Asia-Pacific_Economic_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: East_Asia_Summit | URL: https://en.wikipedia.org/wiki/East_Asia_Summit | Reason: Downloaded successfully
[SUCCESS] Article: Bay_of_Bengal_Initiative_for_Multi-Sectoral_Technical_and_Economic_Cooperation | URL: https://en.wikipedia.org/wiki/Bay_of_Bengal_Initiative_for_Multi-Sectoral_Technical_and_Economic_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: International_Network_for_Bamboo_and_Rattan | URL: https://en.wikipedia.org/wiki/International_Network_for_Bamboo_and_Rattan | Reason: Downloaded successfully
[SUCCESS] Article: Mekong–Ganga_Cooperation | URL: https://en.wikipedia.org/wiki/Mekong%E2%80%93Ganga_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: Mekong_River_Commission | URL: https://en.wikipedia.org/wiki/Mekong_River_Commission | Reason: Downloaded successfully
[SUCCESS] Article: Partnerships_in_Environmental_Management_for_the_Seas_of_East_Asia | URL: https://en.wikipedia.org/wiki/Partnerships_in_Environmental_Management_for_the_Seas_of_East_Asia | Reason: Downloaded successfully
[SUCCESS] Article: Southeast_Asian_Ministers_of_Education_Organization | URL: https://en.wikipedia.org/wiki/Southeast_Asian_Ministers_of_Education_Organization | Reason: Downloaded successfully
[SUCCESS] Article: Trilateral_Cooperation_Secretariat | URL: https://en.wikipedia.org/wiki/Trilateral_Cooperation_Secretariat | Reason: Downloaded successfully
[SUCCESS] Article: Gulf_Cooperation_Council | URL: https://en.wikipedia.org/wiki/Gulf_Cooperation_Council | Reason: Downloaded successfully
[SUCCESS] Article: Group_of_Seven | URL: https://en.wikipedia.org/wiki/Group_of_Seven | Reason: Downloaded successfully
[SUCCESS] Article: Asia-Europe_Foundation | URL: https://en.wikipedia.org/wiki/Asia-Europe_Foundation | Reason: Downloaded successfully
[SUCCESS] Article: Organization_of_Central_Asian_Cooperation | URL: https://en.wikipedia.org/wiki/Organization_of_Central_Asian_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: Collective_Security_Treaty_Organization | URL: https://en.wikipedia.org/wiki/Collective_Security_Treaty_Organization | Reason: Downloaded successfully
[SUCCESS] Article: Conference_on_Interaction_and_Confidence_Building_Measures_in_Asia | URL: https://en.wikipedia.org/wiki/Conference_on_Interaction_and_Confidence_Building_Measures_in_Asia | Reason: Downloaded successfully
[SUCCESS] Article: CONEFO | URL: https://en.wikipedia.org/wiki/CONEFO | Reason: Downloaded successfully
[SUCCESS] Article: Commonwealth_of_Independent_States | URL: https://en.wikipedia.org/wiki/Commonwealth_of_Independent_States | Reason: Downloaded successfully
[SUCCESS] Article: Economic_Cooperation_Organization | URL: https://en.wikipedia.org/wiki/Economic_Cooperation_Organization | Reason: Downloaded successfully
[SUCCESS] Article: GUAM_Organization_for_Democracy_and_Economic_Development | URL: https://en.wikipedia.org/wiki/GUAM_Organization_for_Democracy_and_Economic_Development | Reason: Downloaded successfully
[SUCCESS] Article: Organization_of_Turkic_States | URL: https://en.wikipedia.org/wiki/Organization_of_Turkic_States | Reason: Downloaded successfully
[SUCCESS] Article: TRACECA | URL: https://en.wikipedia.org/wiki/TRACECA | Reason: Downloaded successfully
[SUCCESS] Article: Union_State | URL: https://en.wikipedia.org/wiki/Union_State | Reason: Downloaded successfully
[SUCCESS] Article: Group_of_Ten_(economics) | URL: https://en.wikipedia.org/wiki/Group_of_Ten_(economics) | Reason: Downloaded successfully
[SUCCESS] Article: NATO | URL: https://en.wikipedia.org/wiki/NATO | Reason: Downloaded successfully
[SUCCESS] Article: Organization_for_Security_and_Co-operation_in_Europe | URL: https://en.wikipedia.org/wiki/Organization_for_Security_and_Co-operation_in_Europe | Reason: Downloaded successfully
[SUCCESS] Article: South_Atlantic_Peace_and_Cooperation_Zone | URL: https://en.wikipedia.org/wiki/South_Atlantic_Peace_and_Cooperation_Zone | Reason: Downloaded successfully
[SUCCESS] Article: Indian_Ocean_Rim_Association_for_Regional_Cooperation | URL: https://en.wikipedia.org/wiki/Indian_Ocean_Rim_Association_for_Regional_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: Indian_Ocean_Commission | URL: https://en.wikipedia.org/wiki/Indian_Ocean_Commission | Reason: Downloaded successfully
[SUCCESS] Article: Arctic_Council | URL: https://en.wikipedia.org/wiki/Arctic_Council | Reason: Downloaded successfully
[SUCCESS] Article: ANZUS | URL: https://en.wikipedia.org/wiki/ANZUS | Reason: Downloaded successfully
[SUCCESS] Article: Colombo_Plan | URL: https://en.wikipedia.org/wiki/Colombo_Plan | Reason: Downloaded successfully
[SUCCESS] Article: Group_of_Five | URL: https://en.wikipedia.org/wiki/Group_of_Five | Reason: Downloaded successfully
[SUCCESS] Article: Polynesian_Leaders_Group | URL: https://en.wikipedia.org/wiki/Polynesian_Leaders_Group | Reason: Downloaded successfully
[SUCCESS] Article: Melanesian_Spearhead_Group | URL: https://en.wikipedia.org/wiki/Melanesian_Spearhead_Group | Reason: Downloaded successfully
[SUCCESS] Article: Pacific_Islands_Forum | URL: https://en.wikipedia.org/wiki/Pacific_Islands_Forum | Reason: Downloaded successfully
[SUCCESS] Article: Pacific_Islands_Forum_Fisheries_Agency | URL: https://en.wikipedia.org/wiki/Pacific_Islands_Forum_Fisheries_Agency | Reason: Downloaded successfully
[SUCCESS] Article: Pacific_Regional_Environment_Programme | URL: https://en.wikipedia.org/wiki/Pacific_Regional_Environment_Programme | Reason: Downloaded successfully
[SUCCESS] Article: Technical_Centre_for_Agricultural_and_Rural_Cooperation_ACP-EU_(CTA) | URL: https://en.wikipedia.org/wiki/Technical_Centre_for_Agricultural_and_Rural_Cooperation_ACP-EU_(CTA) | Reason: Downloaded successfully
[SUCCESS] Article: D-8_Organization_for_Economic_Cooperation | URL: https://en.wikipedia.org/wiki/D-8_Organization_for_Economic_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: African_Organisation_for_Standardisation | URL: https://en.wikipedia.org/wiki/African_Organisation_for_Standardisation | Reason: Downloaded successfully
[SUCCESS] Article: Economic_Community_of_Central_African_States | URL: https://en.wikipedia.org/wiki/Economic_Community_of_Central_African_States | Reason: Downloaded successfully
[SUCCESS] Article: Conseil_de_l'Entente | URL: https://en.wikipedia.org/wiki/Conseil_de_l%27Entente | Reason: Downloaded successfully
[SUCCESS] Article: Economic_Community_of_West_African_States | URL: https://en.wikipedia.org/wiki/Economic_Community_of_West_African_States | Reason: Downloaded successfully
[SUCCESS] Article: West_African_Economic_and_Monetary_Union | URL: https://en.wikipedia.org/wiki/West_African_Economic_and_Monetary_Union | Reason: Downloaded successfully
[SUCCESS] Article: Southern_African_Development_Community | URL: https://en.wikipedia.org/wiki/Southern_African_Development_Community | Reason: Downloaded successfully
[SUCCESS] Article: Intergovernmental_Authority_on_Development | URL: https://en.wikipedia.org/wiki/Intergovernmental_Authority_on_Development | Reason: Downloaded successfully
[SUCCESS] Article: International_Conference_on_the_Great_Lakes_Region | URL: https://en.wikipedia.org/wiki/International_Conference_on_the_Great_Lakes_Region | Reason: Downloaded successfully
[SUCCESS] Article: African_Ministers_Council_on_Water | URL: https://en.wikipedia.org/wiki/African_Ministers_Council_on_Water | Reason: Downloaded successfully
[SUCCESS] Article: Andean_Community_of_Nations | URL: https://en.wikipedia.org/wiki/Andean_Community_of_Nations | Reason: Downloaded successfully
[SUCCESS] Article: Forum_for_the_Progress_and_Integration_of_South_America | URL: https://en.wikipedia.org/wiki/Forum_for_the_Progress_and_Integration_of_South_America | Reason: Downloaded successfully
[SUCCESS] Article: Association_of_Caribbean_States | URL: https://en.wikipedia.org/wiki/Association_of_Caribbean_States | Reason: Downloaded successfully
[SUCCESS] Article: Organisation_of_Eastern_Caribbean_States | URL: https://en.wikipedia.org/wiki/Organisation_of_Eastern_Caribbean_States | Reason: Downloaded successfully
[SUCCESS] Article: Central_American_Parliament | URL: https://en.wikipedia.org/wiki/Central_American_Parliament | Reason: Downloaded successfully
[SUCCESS] Article: Bolivarian_Alliance_for_the_Americas | URL: https://en.wikipedia.org/wiki/Bolivarian_Alliance_for_the_Americas | Reason: Downloaded successfully
[SUCCESS] Article: Rio_Group | URL: https://en.wikipedia.org/wiki/Rio_Group | Reason: Downloaded successfully
[SUCCESS] Article: System_of_Cooperation_Among_the_American_Air_Forces | URL: https://en.wikipedia.org/wiki/System_of_Cooperation_Among_the_American_Air_Forces | Reason: Downloaded successfully
[SUCCESS] Article: Central_American_Bank_for_Economic_Integration | URL: https://en.wikipedia.org/wiki/Central_American_Bank_for_Economic_Integration | Reason: Downloaded successfully
[SUCCESS] Article: Central_American_Integration_System | URL: https://en.wikipedia.org/wiki/Central_American_Integration_System | Reason: Downloaded successfully
[SUCCESS] Article: Community_of_Latin_American_and_Caribbean_States | URL: https://en.wikipedia.org/wiki/Community_of_Latin_American_and_Caribbean_States | Reason: Downloaded successfully
[SUCCESS] Article: Pacific_Alliance | URL: https://en.wikipedia.org/wiki/Pacific_Alliance | Reason: Downloaded successfully
[SUCCESS] Article: Australia,_New_Zealand,_United_States_Security_Treaty | URL: https://en.wikipedia.org/wiki/Australia,_New_Zealand,_United_States_Security_Treaty | Reason: Downloaded successfully
[SUCCESS] Article: AUKUS | URL: https://en.wikipedia.org/wiki/AUKUS | Reason: Downloaded successfully
[SUCCESS] Article: North_Atlantic_Treaty_Organization | URL: https://en.wikipedia.org/wiki/North_Atlantic_Treaty_Organization | Reason: Downloaded successfully
[SUCCESS] Article: Inter-American_Treaty_of_Reciprocal_Assistance | URL: https://en.wikipedia.org/wiki/Inter-American_Treaty_of_Reciprocal_Assistance | Reason: Downloaded successfully
[SUCCESS] Article: Islamic_Military_Counter_Terrorism_Coalition | URL: https://en.wikipedia.org/wiki/Islamic_Military_Counter_Terrorism_Coalition | Reason: Downloaded successfully
[SUCCESS] Article: Western_European_and_Others_Group | URL: https://en.wikipedia.org/wiki/Western_European_and_Others_Group | Reason: Downloaded successfully
[SUCCESS] Article: Non-Proliferation_and_Disarmament_Initiative | URL: https://en.wikipedia.org/wiki/Non-Proliferation_and_Disarmament_Initiative | Reason: Downloaded successfully
[SUCCESS] Article: New_Agenda_Coalition | URL: https://en.wikipedia.org/wiki/New_Agenda_Coalition | Reason: Downloaded successfully
[SUCCESS] Article: Association_of_World_Election_Bodies | URL: https://en.wikipedia.org/wiki/Association_of_World_Election_Bodies | Reason: Downloaded successfully
[SUCCESS] Article: BRICS | URL: https://en.wikipedia.org/wiki/BRICS | Reason: Downloaded successfully
[SUCCESS] Article: Alliance_of_Small_Island_States | URL: https://en.wikipedia.org/wiki/Alliance_of_Small_Island_States | Reason: Downloaded successfully
[SUCCESS] Article: G20 | URL: https://en.wikipedia.org/wiki/G20 | Reason: Downloaded successfully
[SUCCESS] Article: Group_of_24 | URL: https://en.wikipedia.org/wiki/Group_of_24 | Reason: Downloaded successfully
[SUCCESS] Article: Group_of_77 | URL: https://en.wikipedia.org/wiki/Group_of_77 | Reason: Downloaded successfully
[SUCCESS] Article: Group_of_15 | URL: https://en.wikipedia.org/wiki/Group_of_15 | Reason: Downloaded successfully
[SUCCESS] Article: Group_of_Twelve | URL: https://en.wikipedia.org/wiki/Group_of_Twelve | Reason: Downloaded successfully
[SUCCESS] Article: Group_of_Eleven | URL: https://en.wikipedia.org/wiki/Group_of_Eleven | Reason: Downloaded successfully
[SUCCESS] Article: G4_nations | URL: https://en.wikipedia.org/wiki/G4_nations | Reason: Downloaded successfully
[SUCCESS] Article: Non-Aligned_Movement | URL: https://en.wikipedia.org/wiki/Non-Aligned_Movement | Reason: Downloaded successfully
[SUCCESS] Article: Quadrilateral_Security_Dialogue | URL: https://en.wikipedia.org/wiki/Quadrilateral_Security_Dialogue | Reason: Downloaded successfully
[SUCCESS] Article: Digital_Nations | URL: https://en.wikipedia.org/wiki/Digital_Nations | Reason: Downloaded successfully
[SUCCESS] Article: Packet_Clearing_House | URL: https://en.wikipedia.org/wiki/Packet_Clearing_House | Reason: Downloaded successfully
[SUCCESS] Article: International_Solar_Alliance | URL: https://en.wikipedia.org/wiki/International_Solar_Alliance | Reason: Downloaded successfully
[SUCCESS] Article: Renewable_Energy_and_Energy_Efficiency_Partnership | URL: https://en.wikipedia.org/wiki/Renewable_Energy_and_Energy_Efficiency_Partnership | Reason: Downloaded successfully
[SUCCESS] Article: Sustainable_Energy_for_All | URL: https://en.wikipedia.org/wiki/Sustainable_Energy_for_All | Reason: Downloaded successfully
[SUCCESS] Article: International_Renewable_Energy_Agency | URL: https://en.wikipedia.org/wiki/International_Renewable_Energy_Agency | Reason: Downloaded successfully
[SUCCESS] Article: World_Association_of_Nuclear_Operators | URL: https://en.wikipedia.org/wiki/World_Association_of_Nuclear_Operators | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Atomic_Energy_Commission | URL: https://en.wikipedia.org/wiki/United_Nations_Atomic_Energy_Commission | Reason: Downloaded successfully
[SUCCESS] Article: Nuclear_Energy_Agency | URL: https://en.wikipedia.org/wiki/Nuclear_Energy_Agency | Reason: Downloaded successfully
[SUCCESS] Article: Korean_Peninsula_Energy_Development_Organization | URL: https://en.wikipedia.org/wiki/Korean_Peninsula_Energy_Development_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Centre_for_Synchrotron-Light_for_Experimental_Science_Applications_in_the_Middle_East | URL: https://en.wikipedia.org/wiki/International_Centre_for_Synchrotron-Light_for_Experimental_Science_Applications_in_the_Middle_East | Reason: Downloaded successfully
[SUCCESS] Article: European_Atomic_Energy_Community | URL: https://en.wikipedia.org/wiki/European_Atomic_Energy_Community | Reason: Downloaded successfully
[SUCCESS] Article: International_Energy_Forum | URL: https://en.wikipedia.org/wiki/International_Energy_Forum | Reason: Downloaded successfully
[SUCCESS] Article: International_Institute_for_Applied_Systems_Analysis | URL: https://en.wikipedia.org/wiki/International_Institute_for_Applied_Systems_Analysis | Reason: Downloaded successfully
[SUCCESS] Article: Energy_Charter | URL: https://en.wikipedia.org/wiki/Energy_Charter | Reason: Downloaded successfully
[SUCCESS] Article: Missile_Technology_Control_Regime | URL: https://en.wikipedia.org/wiki/Missile_Technology_Control_Regime | Reason: Downloaded successfully
[SUCCESS] Article: Australia_Group | URL: https://en.wikipedia.org/wiki/Australia_Group | Reason: Downloaded successfully
[SUCCESS] Article: Nuclear_Suppliers_Group | URL: https://en.wikipedia.org/wiki/Nuclear_Suppliers_Group | Reason: Downloaded successfully
[SUCCESS] Article: Wassenaar_Arrangement | URL: https://en.wikipedia.org/wiki/Wassenaar_Arrangement | Reason: Downloaded successfully
[SUCCESS] Article: Conference_on_Disarmament | URL: https://en.wikipedia.org/wiki/Conference_on_Disarmament | Reason: Downloaded successfully
[SUCCESS] Article: Permanent_Court_of_Arbitration | URL: https://en.wikipedia.org/wiki/Permanent_Court_of_Arbitration | Reason: Downloaded successfully
[SUCCESS] Article: International_Criminal_Police_Organization | URL: https://en.wikipedia.org/wiki/International_Criminal_Police_Organization | Reason: Downloaded successfully
